,,,error,buggy_scheds,scheds_to_bug,total_scheds,time_to_bug,trial_num,interesting_scheds,num_new_cov,cvg_pct
power-coe-schedfuzz,CB/aget-bug2,0,,1.0,1.0,1.0,0.025346755981445312,0,,,
power-coe-schedfuzz,CB/aget-bug2,1,,1.0,1.0,1.0,0.02533102035522461,1,,,
power-coe-schedfuzz,CB/aget-bug2,2,,1.0,1.0,1.0,0.029316186904907227,2,,,
power-coe-schedfuzz,CB/aget-bug2,3,,1.0,1.0,1.0,0.023749351501464844,3,,,
power-coe-schedfuzz,CB/aget-bug2,4,,1.0,1.0,1.0,0.023467063903808594,4,,,
power-coe-schedfuzz,CB/aget-bug2,5,,1.0,1.0,1.0,0.025383710861206055,5,,,
power-coe-schedfuzz,CB/aget-bug2,6,,1.0,1.0,1.0,0.02774953842163086,6,,,
power-coe-schedfuzz,CB/aget-bug2,7,,1.0,1.0,1.0,0.027413129806518555,7,,,
power-coe-schedfuzz,CB/aget-bug2,8,,1.0,1.0,1.0,0.02138495445251465,8,,,
power-coe-schedfuzz,CB/aget-bug2,9,,1.0,1.0,1.0,0.02725386619567871,9,,,
power-coe-schedfuzz,CB/aget-bug2,10,,1.0,1.0,1.0,0.02553725242614746,10,,,
power-coe-schedfuzz,CB/aget-bug2,11,,1.0,1.0,1.0,0.028620004653930664,11,,,
power-coe-schedfuzz,CB/aget-bug2,12,,1.0,1.0,1.0,0.026264429092407227,12,,,
power-coe-schedfuzz,CB/aget-bug2,13,,1.0,1.0,1.0,0.022274494171142578,13,,,
power-coe-schedfuzz,CB/aget-bug2,14,,1.0,1.0,1.0,0.029494285583496094,14,,,
power-coe-schedfuzz,CB/aget-bug2,15,,1.0,1.0,1.0,0.024637222290039062,15,,,
power-coe-schedfuzz,CB/aget-bug2,16,,1.0,1.0,1.0,0.02043890953063965,16,,,
power-coe-schedfuzz,CB/aget-bug2,17,,1.0,1.0,1.0,0.030779600143432617,17,,,
power-coe-schedfuzz,CB/aget-bug2,18,,1.0,1.0,1.0,0.028136253356933594,18,,,
power-coe-schedfuzz,CB/aget-bug2,19,,1.0,1.0,1.0,0.026383399963378906,19,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,0,,1.0,1.0,1.0,0.027706146240234375,0,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,1,,1.0,1.0,1.0,0.02123570442199707,1,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,2,,1.0,1.0,1.0,0.025749921798706055,2,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,3,,1.0,1.0,1.0,0.02440953254699707,3,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,4,,1.0,1.0,1.0,0.024729490280151367,4,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,5,,1.0,1.0,1.0,0.02562093734741211,5,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,6,,1.0,1.0,1.0,0.02355813980102539,6,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,7,,1.0,1.0,1.0,0.02634406089782715,7,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,8,,1.0,1.0,1.0,0.025645017623901367,8,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,9,,1.0,1.0,1.0,0.023188114166259766,9,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,10,,1.0,1.0,1.0,0.026502609252929688,10,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,11,,1.0,1.0,1.0,0.026387453079223633,11,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,12,,1.0,1.0,1.0,0.02490067481994629,12,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,13,,1.0,1.0,1.0,0.02713155746459961,13,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,14,,1.0,1.0,1.0,0.02562260627746582,14,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,15,,1.0,1.0,1.0,0.026964902877807617,15,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,16,,1.0,1.0,1.0,0.024509429931640625,16,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,17,,1.0,1.0,1.0,0.024782896041870117,17,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,18,,1.0,1.0,1.0,0.027593135833740234,18,,,
power-coe-always-rand-schedfuzz,CB/aget-bug2,19,,1.0,1.0,1.0,0.026251792907714844,19,,,
schedfuzz,CB/aget-bug2,0,,1.0,1.0,1.0,0.025154590606689453,0,,,
schedfuzz,CB/aget-bug2,1,,1.0,1.0,1.0,0.027393102645874023,1,,,
schedfuzz,CB/aget-bug2,2,,1.0,1.0,1.0,0.025667905807495117,2,,,
schedfuzz,CB/aget-bug2,3,,1.0,1.0,1.0,0.02512526512145996,3,,,
schedfuzz,CB/aget-bug2,4,,1.0,1.0,1.0,0.024102449417114258,4,,,
schedfuzz,CB/aget-bug2,5,,1.0,1.0,1.0,0.027706146240234375,5,,,
schedfuzz,CB/aget-bug2,6,,1.0,1.0,1.0,0.026154279708862305,6,,,
schedfuzz,CB/aget-bug2,7,,1.0,1.0,1.0,0.031442880630493164,7,,,
schedfuzz,CB/aget-bug2,8,,1.0,1.0,1.0,0.024639129638671875,8,,,
schedfuzz,CB/aget-bug2,9,,1.0,1.0,1.0,0.025290489196777344,9,,,
schedfuzz,CB/aget-bug2,10,,1.0,1.0,1.0,0.030326366424560547,10,,,
schedfuzz,CB/aget-bug2,11,,1.0,1.0,1.0,0.025766372680664062,11,,,
schedfuzz,CB/aget-bug2,12,,1.0,1.0,1.0,0.021418094635009766,12,,,
schedfuzz,CB/aget-bug2,13,,1.0,1.0,1.0,0.023868322372436523,13,,,
schedfuzz,CB/aget-bug2,14,,1.0,1.0,1.0,0.026119232177734375,14,,,
schedfuzz,CB/aget-bug2,15,,1.0,1.0,1.0,0.02611088752746582,15,,,
schedfuzz,CB/aget-bug2,16,,1.0,1.0,1.0,0.025434255599975586,16,,,
schedfuzz,CB/aget-bug2,17,,1.0,1.0,1.0,0.029896259307861328,17,,,
schedfuzz,CB/aget-bug2,18,,1.0,1.0,1.0,0.026355504989624023,18,,,
schedfuzz,CB/aget-bug2,19,,1.0,1.0,1.0,0.027998924255371094,19,,,
pos-only-schedfuzz,CB/aget-bug2,0,,1.0,1.0,1.0,0.027912616729736328,0,,,
pos-only-schedfuzz,CB/aget-bug2,1,,1.0,1.0,1.0,0.0214231014251709,1,,,
pos-only-schedfuzz,CB/aget-bug2,2,,1.0,1.0,1.0,0.019159317016601562,2,,,
pos-only-schedfuzz,CB/aget-bug2,3,,1.0,1.0,1.0,0.021973371505737305,3,,,
pos-only-schedfuzz,CB/aget-bug2,4,,1.0,1.0,1.0,0.021848678588867188,4,,,
pos-only-schedfuzz,CB/aget-bug2,5,,1.0,1.0,1.0,0.018933534622192383,5,,,
pos-only-schedfuzz,CB/aget-bug2,6,,1.0,1.0,1.0,0.021228551864624023,6,,,
pos-only-schedfuzz,CB/aget-bug2,7,,1.0,1.0,1.0,0.019761323928833008,7,,,
pos-only-schedfuzz,CB/aget-bug2,8,,1.0,1.0,1.0,0.025710344314575195,8,,,
pos-only-schedfuzz,CB/aget-bug2,9,,1.0,1.0,1.0,0.020906448364257812,9,,,
pos-only-schedfuzz,CB/aget-bug2,10,,1.0,1.0,1.0,0.019093990325927734,10,,,
pos-only-schedfuzz,CB/aget-bug2,11,,1.0,1.0,1.0,0.021886348724365234,11,,,
pos-only-schedfuzz,CB/aget-bug2,12,,1.0,1.0,1.0,0.023076534271240234,12,,,
pos-only-schedfuzz,CB/aget-bug2,13,,1.0,1.0,1.0,0.021059036254882812,13,,,
pos-only-schedfuzz,CB/aget-bug2,14,,1.0,1.0,1.0,0.022504568099975586,14,,,
pos-only-schedfuzz,CB/aget-bug2,15,,1.0,1.0,1.0,0.026342391967773438,15,,,
pos-only-schedfuzz,CB/aget-bug2,16,,1.0,1.0,1.0,0.022755861282348633,16,,,
